coverage,risk,accuracy,abstain_threshold
0.102,0.5441176470588235,0.4558823529411765,0.35878443982786123
0.1025,0.5414634146341464,0.4585365853658536,0.3589583216643358
0.103,0.5436893203883495,0.4563106796116505,0.3592894983441236
0.1035,0.5410628019323671,0.4589371980676329,0.359497042089987
0.104,0.5432692307692307,0.4567307692307693,0.35962310037364054
0.1045,0.5406698564593302,0.4593301435406698,0.3599452443172728
0.105,0.5428571428571428,0.4571428571428572,0.3599890182542002
0.1055,0.5450236966824644,0.4549763033175356,0.36030428750461735
0.106,0.5424528301886793,0.4575471698113207,0.3604927750960029
0.1065,0.5446009389671361,0.45539906103286387,0.3605396331969975
0.107,0.5420560747663551,0.4579439252336449,0.3609119663189227
0.1075,0.5441860465116279,0.45581395348837206,0.3619948969811783
0.108,0.5462962962962963,0.4537037037037037,0.36222635235684375
0.1085,0.5483870967741935,0.4516129032258065,0.36262412570107283
0.109,0.5504587155963303,0.4495412844036697,0.3628707964913847
0.1095,0.547945205479452,0.452054794520548,0.3630293775167841
0.11,0.55,0.44999999999999996,0.36317469455913737
0.1105,0.5520361990950227,0.44796380090497734,0.363697392619675
0.111,0.5540540540540541,0.44594594594594594,0.3638393412201073
0.1115,0.5560538116591929,0.4439461883408071,0.3640202502282686
0.112,0.5535714285714286,0.4464285714285714,0.3640728629857474
0.1125,0.5555555555555556,0.4444444444444444,0.3642781354108272
0.113,0.5575221238938053,0.4424778761061947,0.3643160578796501
0.1135,0.5594713656387665,0.44052863436123346,0.36458970657851375
0.114,0.5614035087719298,0.4385964912280702,0.3646421534437634
0.1145,0.5633187772925764,0.4366812227074236,0.36464341238556064
0.115,0.5652173913043478,0.4347826086956522,0.36472721569139244
0.1155,0.5670995670995671,0.4329004329004329,0.36484383572807194
0.116,0.5689655172413793,0.43103448275862066,0.3649706377268584
0.1165,0.5708154506437768,0.4291845493562232,0.3650577566761246
0.117,0.5726495726495726,0.4273504273504274,0.3651359521253484
0.1175,0.5702127659574469,0.42978723404255315,0.36516387499410163
0.118,0.5720338983050848,0.4279661016949152,0.3655462104854413
0.1185,0.5738396624472574,0.42616033755274263,0.36614414346982843
0.119,0.5756302521008403,0.4243697478991597,0.3662623835896384
0.1195,0.5732217573221757,0.42677824267782427,0.36676149910401035
0.12,0.575,0.42500000000000004,0.36715167337127397
0.1205,0.5767634854771784,0.4232365145228216,0.3671650402512132
0.121,0.5743801652892562,0.4256198347107438,0.3672841545124993
0.1215,0.5761316872427984,0.4238683127572016,0.3674622295592557
0.122,0.5778688524590164,0.4221311475409836,0.3676507306507333
0.1225,0.5755102040816327,0.42448979591836733,0.3677022430518271
0.123,0.5772357723577236,0.4227642276422764,0.36803515260555475
0.1235,0.5748987854251012,0.4251012145748988,0.36830311959556455
0.124,0.5725806451612904,0.42741935483870963,0.3685019749290005
0.1245,0.5742971887550201,0.4257028112449799,0.36899403076407816
0.125,0.576,0.42400000000000004,0.3694663895503811
0.1255,0.5776892430278885,0.4223107569721115,0.3696494233302777
0.126,0.5793650793650794,0.4206349206349206,0.3696580360037591
0.1265,0.5810276679841897,0.4189723320158103,0.37068554874818976
0.127,0.5787401574803149,0.42125984251968507,0.37110707230519546
0.1275,0.5803921568627451,0.41960784313725485,0.37154260982213116
0.128,0.58203125,0.41796875,0.37155147319070236
0.1285,0.5797665369649806,0.4202334630350194,0.37189918441633824
0.129,0.5813953488372093,0.41860465116279066,0.37195790149601005
0.1295,0.583011583011583,0.41698841698841704,0.3722454583170655
0.13,0.5846153846153846,0.41538461538461535,0.37233265032629825
0.1305,0.5823754789272031,0.4176245210727969,0.3728133574036674
0.131,0.5801526717557252,0.41984732824427484,0.3729363779526721
0.1315,0.5779467680608364,0.42205323193916355,0.3730833962729062
0.132,0.5795454545454546,0.4204545454545454,0.37323558480065455
0.1325,0.5811320754716981,0.4188679245283019,0.37323998046246154
0.133,0.5827067669172933,0.4172932330827067,0.37338767946631307
0.1335,0.5842696629213483,0.4157303370786517,0.3738889821948409
0.134,0.585820895522388,0.41417910447761197,0.3738938259402387
0.1345,0.587360594795539,0.41263940520446096,0.37462790483967123
0.135,0.5888888888888889,0.4111111111111111,0.37493467882306963
0.1355,0.5867158671586716,0.41328413284132837,0.3750261200407063
0.136,0.5882352941176471,0.4117647058823529,0.37504380356220357
0.1365,0.5897435897435898,0.41025641025641024,0.37564463454093994
0.137,0.5875912408759124,0.4124087591240876,0.37566564635550587
0.1375,0.5890909090909091,0.4109090909090909,0.37583844427790686
0.138,0.5905797101449275,0.4094202898550725,0.37612894984459644
0.1385,0.5884476534296029,0.4115523465703971,0.37621348454158804
0.139,0.5899280575539568,0.41007194244604317,0.3764363886074904
0.1395,0.5913978494623656,0.4086021505376344,0.3766141658763111
0.14,0.5892857142857143,0.4107142857142857,0.37668286435865916
0.1405,0.5871886120996441,0.4128113879003559,0.37677789070383555
0.141,0.5851063829787234,0.4148936170212766,0.37681916135711047
0.1415,0.5865724381625441,0.4134275618374559,0.3779463458164166
0.142,0.5880281690140845,0.4119718309859155,0.3780113032505358
0.1425,0.5894736842105263,0.41052631578947374,0.3780420303740886
0.143,0.5909090909090909,0.40909090909090906,0.37822492554172754
0.1435,0.5888501742160279,0.4111498257839721,0.37837527931030973
0.144,0.5902777777777778,0.4097222222222222,0.37891078440033055
0.1445,0.5916955017301038,0.40830449826989623,0.3789202998322161
0.145,0.593103448275862,0.40689655172413797,0.3789277196066678
0.1455,0.5945017182130584,0.4054982817869416,0.37902841025125933
0.146,0.5958904109589042,0.40410958904109584,0.37914315185280795
0.1465,0.5938566552901023,0.40614334470989766,0.3791611601266878
0.147,0.5952380952380952,0.40476190476190477,0.3794326661011313
0.1475,0.5932203389830508,0.4067796610169492,0.3794739432752364
0.148,0.5945945945945946,0.4054054054054054,0.3796297799583888
0.1485,0.5959595959595959,0.4040404040404041,0.3796658184595036
0.149,0.5973154362416108,0.40268456375838924,0.38020988538516354
0.1495,0.5986622073578596,0.4013377926421404,0.38114421097675977
0.15,0.6,0.4,0.38133703106341427
0.1505,0.5980066445182725,0.40199335548172754,0.38134962614490214
0.151,0.5993377483443708,0.4006622516556292,0.38159953780347017
0.1515,0.6006600660066007,0.3993399339933993,0.38166486851787457
0.152,0.6019736842105263,0.3980263157894737,0.3817998645032931
0.1525,0.6,0.4,0.3822587720612631
0.153,0.5980392156862745,0.4019607843137255,0.3825322802641709
0.1535,0.5993485342019544,0.40065146579804556,0.38275979481401434
0.154,0.5974025974025974,0.4025974025974026,0.38293468010135756
0.1545,0.598705501618123,0.40129449838187703,0.3830178275921735
0.155,0.5967741935483871,0.4032258064516129,0.38322012932634597
0.1555,0.5980707395498392,0.40192926045016075,0.3836126461919476
0.156,0.5993589743589743,0.40064102564102566,0.3838732382199313
0.1565,0.6006389776357828,0.3993610223642172,0.38408430728913107
0.157,0.6019108280254777,0.3980891719745223,0.3843319058366961
0.1575,0.6031746031746031,0.39682539682539686,0.38437100483670156
0.158,0.6012658227848101,0.3987341772151899,0.3843785191333083
0.1585,0.6025236593059937,0.3974763406940063,0.38445503581884444
0.159,0.6037735849056604,0.39622641509433965,0.38509653027411717
0.1595,0.6018808777429467,0.39811912225705326,0.3851773817856987
0.16,0.603125,0.396875,0.38519464950316584
0.1605,0.6043613707165109,0.39563862928348914,0.3854110083463278
0.161,0.6024844720496895,0.39751552795031053,0.38548614578183416
0.1615,0.6037151702786377,0.39628482972136225,0.38558285148143634
0.162,0.6049382716049383,0.3950617283950617,0.3858026371591475
0.1625,0.6061538461538462,0.39384615384615385,0.3858255450846383
0.163,0.6073619631901841,0.3926380368098159,0.38597507458859687
0.1635,0.6085626911314985,0.3914373088685015,0.38599696561556224
0.164,0.6067073170731707,0.3932926829268293,0.3863479584118711
0.1645,0.60790273556231,0.39209726443769,0.38636899897738763
0.165,0.6090909090909091,0.3909090909090909,0.3866665466842327
0.1655,0.6102719033232629,0.38972809667673713,0.38696262518757507
0.166,0.6114457831325302,0.3885542168674698,0.3869946641181969
0.1665,0.6096096096096096,0.39039039039039036,0.38757008044808045
0.167,0.6077844311377245,0.3922155688622755,0.3876382460184812
0.1675,0.6059701492537314,0.3940298507462686,0.3883278343833831
0.168,0.6041666666666666,0.39583333333333337,0.3885490865000253
0.1685,0.6023738872403561,0.3976261127596439,0.3886045036158601
0.169,0.6005917159763313,0.3994082840236687,0.38897640577294856
0.1695,0.6017699115044248,0.3982300884955752,0.3890569436887476
0.17,0.6029411764705882,0.3970588235294118,0.3891682444691395
0.1705,0.6011730205278593,0.39882697947214074,0.3892832895190354
