coverage,accuracy
0.2685,0.45623836126629425
0.269,0.4553903345724907
0.2695,0.4564007421150278
0.27,0.4555555555555556
0.2705,0.4565619223659889
0.271,0.4575645756457565
0.2715,0.45856353591160226
0.272,0.4595588235294118
0.2725,0.4605504587155963
0.273,0.45970695970695974
0.2735,0.4606946983546618
0.274,0.45985401459854014
0.2745,0.46083788706739526
0.275,0.4618181818181818
0.2755,0.4627949183303085
0.276,0.46376811594202894
0.2765,0.4629294755877035
0.277,0.4620938628158845
0.2775,0.4612612612612612
0.278,0.460431654676259
0.2785,0.4614003590664273
0.279,0.4623655913978495
0.2795,0.4633273703041145
0.28,0.4625
0.2805,0.4634581105169341
0.281,0.4626334519572953
0.2815,0.46358792184724684
0.282,0.46453900709219853
0.2825,0.463716814159292
0.283,0.4646643109540636
0.2835,0.46384479717813054
0.284,0.46478873239436624
0.2845,0.4657293497363796
0.285,0.4666666666666667
0.2855,0.46760070052539404
0.286,0.46853146853146854
0.2865,0.4677137870855148
0.287,0.46864111498257843
0.2875,0.4695652173913043
0.288,0.47048611111111116
0.2885,0.4714038128249567
0.289,0.47231833910034604
0.2895,0.47150259067357514
0.29,0.4724137931034482
0.2905,0.4716006884681584
0.291,0.4725085910652921
0.2915,0.47341337907375647
0.292,0.4726027397260274
0.2925,0.4717948717948718
0.293,0.4709897610921502
0.2935,0.4701873935264055
0.294,0.4710884353741497
0.2945,0.47198641765704585
0.295,0.4728813559322034
0.2955,0.4737732656514383
0.296,0.47466216216216217
0.2965,0.47386172006745364
0.297,0.4730639730639731
0.2975,0.4722689075630252
0.298,0.4714765100671141
0.2985,0.47068676716917923
0.299,0.47157190635451507
0.2995,0.4724540901502504
0.3,0.4716666666666667
0.3005,0.47088186356073214
0.301,0.4717607973421927
0.3015,0.4709784411276948
0.302,0.4718543046357616
0.3025,0.47107438016528924
0.303,0.471947194719472
0.3035,0.47116968698517303
0.304,0.4720394736842105
0.3045,0.4729064039408867
0.305,0.4721311475409836
0.3055,0.47299509001636664
0.306,0.4738562091503268
0.3065,0.4730831973898858
0.307,0.4739413680781759
0.3075,0.4747967479674797
0.308,0.474025974025974
0.3085,0.4748784440842788
0.309,0.4741100323624595
0.3095,0.4733441033925686
0.31,0.4725806451612903
0.3105,0.47342995169082125
0.311,0.47427652733118975
0.3115,0.4735152487961477
0.312,0.47275641025641024
0.3125,0.472
0.313,0.4712460063897763
0.3135,0.47208931419457734
0.314,0.4713375796178344
0.3145,0.47058823529411764
0.315,0.46984126984126984
0.3155,0.4706814580031695
0.316,0.46993670886075944
0.3165,0.4707740916271722
0.317,0.4700315457413249
0.3175,0.47086614173228347
0.318,0.47012578616352196
0.3185,0.4693877551020408
0.319,0.4686520376175548
0.3195,0.4694835680751174
0.32,0.46875
0.3205,0.46957878315132606
0.321,0.4688473520249221
0.3215,0.4696734059097978
0.322,0.4704968944099379
0.3225,0.46976744186046515
0.323,0.46904024767801855
0.3235,0.4683153013910355
0.324,0.4691358024691358
0.3245,0.46995377503852076
0.325,0.46923076923076923
0.3255,0.46850998463901694
0.326,0.46779141104294475
0.3265,0.4686064318529862
0.327,0.46941896024464835
0.3275,0.47022900763358777
0.328,0.4710365853658537
0.3285,0.471841704718417
0.329,0.47112462006079026
0.3295,0.4704097116843703
0.33,0.4696969696969697
0.3305,0.46898638426626327
0.331,0.46978851963746227
0.3315,0.46907993966817496
0.332,0.46837349397590367
0.3325,0.4676691729323308
0.333,0.46846846846846846
0.3335,0.46776611694152925
0.334,0.46706586826347307
0.3345,0.4678624813153961
0.335,0.4671641791044776
0.3355,0.466467958271237
0.336,0.46726190476190477
0.3365,0.46805349182763745
0.337,0.4688427299703264
0.3375,0.4696296296296296
0.338,0.4704142011834319
0.3385,0.4711964549483013
0.339,0.471976401179941
0.3395,0.4727540500736377
0.34,0.47352941176470587
0.3405,0.47430249632892807
0.341,0.4750733137829912
0.3415,0.4743777452415813
0.342,0.4736842105263158
0.3425,0.47299270072992705
0.343,0.4723032069970845
0.3435,0.4730713245997089
0.344,0.4723837209302325
0.3445,0.4731494920174165
0.345,0.4739130434782609
0.3455,0.47322720694645437
0.346,0.4725433526011561
0.3465,0.47186147186147187
0.347,0.47118155619596547
0.3475,0.47050359712230216
0.348,0.4698275862068966
0.3485,0.4691535150645624
0.349,0.46991404011461313
0.3495,0.4706723891273248
0.35,0.47
0.3505,0.4693295292439372
0.351,0.4700854700854701
0.3515,0.46941678520625885
0.352,0.46875
0.3525,0.46808510638297873
0.353,0.4688385269121813
0.3535,0.46817538896746813
0.354,0.4689265536723164
0.3545,0.46967559943582515
0.355,0.47042253521126765
0.3555,0.47116736990154706
0.356,0.4705056179775281
0.3565,0.47124824684431976
0.357,0.47058823529411764
0.3575,0.4699300699300699
0.358,0.4706703910614525
0.3585,0.4714086471408647
0.359,0.47075208913649025
0.3595,0.47148817802503473
0.36,0.4722222222222222
0.3605,0.47156726768377255
0.361,0.47091412742382266
0.3615,0.4702627939142462
0.362,0.4696132596685083
0.3625,0.4703448275862069
